timestamp,elapsed_ms,acc_x,acc_y,acc_z,acc_magnitude,gyro_x,gyro_y,gyro_z,gyro_magnitude
1756078089905,2731,-5.304953,-12.516887,2.758120,13.871633,2.304432,-2.433462,0.419980,3.377651
1756078089918,2744,-3.556587,-11.998542,12.756906,17.870449,2.304432,-2.433462,0.419980,3.377651
1756078089967,2793,-3.556587,-11.998542,12.756906,17.870449,3.804190,-1.699095,0.449541,4.190569
1756078089979,2805,-1.153407,-11.557410,3.541024,12.142608,3.804190,-1.699095,0.449541,4.190569
1756078090054,2880,-1.912967,-5.439028,8.324639,10.126307,3.804190,-1.699095,0.449541,4.190569
1756078090065,2891,-1.912967,-5.439028,8.324639,10.126307,2.021205,-1.660879,0.271376,2.630101
1756078090108,2934,-1.912967,-5.439028,8.324639,10.126307,2.670350,-1.462208,0.121840,3.046910
1756078090120,2946,0.961871,-3.784036,4.691438,6.103582,2.670350,-1.462208,0.121840,3.046910
1756078090168,2994,1.198897,-1.483208,5.510854,5.831532,2.670350,-1.462208,0.121840,3.046910
1756078090179,3005,1.198897,-1.483208,5.510854,5.831532,1.861814,-0.717056,-0.184690,2.003655
1756078090289,3115,0.926556,0.099359,2.029086,2.232839,1.861814,-0.717056,-0.184690,2.003655
1756078090300,3126,0.926556,0.099359,2.029086,2.232839,0.336623,0.083357,-0.274971,0.442575
1756078090349,3175,2.114679,-1.085172,3.580529,4.297633,0.336623,0.083357,-0.274971,0.442575
1756078090359,3185,2.114679,-1.085172,3.580529,4.297633,-1.306146,0.895754,-0.520248,1.667049
1756078090408,3234,0.373495,-3.006519,6.019023,6.738493,-1.306146,0.895754,-0.520248,1.667049
1756078090420,3246,0.373495,-3.006519,6.019023,6.738493,-2.041711,1.567535,-0.974849,2.752468
1756078090467,3293,-2.940080,-5.691616,6.512228,9.134970,-2.041711,1.567535,-0.974849,2.752468
1756078090478,3304,-2.940080,-5.691616,6.512228,9.134970,-2.760897,2.176467,-1.001880,3.655588
1756078090530,3356,-2.940080,-5.691616,6.512228,9.134970,-3.228947,1.726659,-0.504535,3.696215
1756078090542,3368,-3.671508,-9.187749,7.023391,12.133537,-3.228947,1.726659,-0.504535,3.696215
1756078090612,3438,-3.671508,-9.187749,7.023391,12.133537,-3.064897,1.175252,-0.171507,3.286978
1756078090625,3451,-3.527258,-10.501567,7.588422,13.427903,-3.064897,1.175252,-0.171507,3.286978
1756078090667,3493,-3.527258,-10.501567,7.588422,13.427903,-2.576607,0.949017,-0.100534,2.747661
1756078090679,3505,-2.534861,-10.479421,5.480926,12.094806,-2.576607,0.949017,-0.100534,2.747661
1756078090730,3556,-2.534861,-10.479421,5.480926,12.094806,-1.847300,0.535162,-0.012650,1.923298
1756078090743,3569,-4.143764,-12.105682,4.882974,13.695319,-1.847300,0.535162,-0.012650,1.923298
1756078090790,3616,-3.511695,-9.330803,4.669292,11.009005,-1.847300,0.535162,-0.012650,1.923298
1756078090801,3627,-3.511695,-9.330803,4.669292,11.009005,-0.236489,0.125035,0.075634,0.277995
1756078090853,3679,-3.930681,-9.187749,0.094571,9.993694,-0.236489,0.125035,0.075634,0.277995
1756078090863,3689,-3.930681,-9.187749,0.094571,9.993694,0.067511,0.174970,0.072438,0.201046
1756078090912,3738,-3.930681,-9.187749,0.094571,9.993694,-0.422510,-0.201069,0.150335,0.491471
1756078090923,3749,-5.149329,-8.929175,1.459864,10.410425,-0.422510,-0.201069,0.150335,0.491471
1756078090970,3796,-3.377620,-9.914988,3.104681,10.924941,-0.422510,-0.201069,0.150335,0.491471
1756078090980,3806,-3.377620,-9.914988,3.104681,10.924941,-0.127299,-0.427703,0.090015,0.455234
1756078091033,3859,-3.028067,-9.156625,-0.059256,9.644506,-0.127299,-0.427703,0.090015,0.455234
1756078091044,3870,-3.028067,-9.156625,-0.059256,9.644506,0.079895,-0.119443,0.056059,0.154248
1756078091111,3937,-4.073136,-8.837597,1.963245,9.927129,0.079895,-0.119443,0.056059,0.154248
1756078091121,3947,-4.073136,-8.837597,1.963245,9.927129,-0.194943,0.051932,-0.049002,0.207608
1756078091170,3996,-2.697667,-8.684967,2.198476,9.356247,-0.194943,0.051932,-0.049002,0.207608
1756078091180,4006,-2.697667,-8.684967,2.198476,9.356247,-0.125701,0.069775,-0.019308,0.145059
1756078091234,4060,-3.992331,-8.809465,1.308431,9.759989,-0.125701,0.069775,-0.019308,0.145059
1756078091245,4071,-3.992331,-8.809465,1.308431,9.759989,-0.115048,0.098271,-0.094409,0.178343
1756078091353,4179,-3.761889,-8.692149,2.473210,9.788873,-0.115048,0.098271,-0.094409,0.178343
1756078091364,4190,-3.761889,-8.692149,2.473210,9.788873,-0.145142,-0.056459,-0.046339,0.162484
1756078091412,4238,-3.330933,-9.297284,0.865504,9.913814,-0.145142,-0.056459,-0.046339,0.162484
1756078091422,4248,-3.330933,-9.297284,0.865504,9.913814,-0.071905,-0.055793,-0.143677,0.170078
1756078091473,4299,-4.411915,-9.398438,3.007716,10.809347,-0.071905,-0.055793,-0.143677,0.170078
1756078091483,4309,-4.411915,-9.398438,3.007716,10.809347,0.162586,0.252334,-0.204930,0.363460
1756078091534,4360,-4.411915,-9.398438,3.007716,10.809347,0.450740,-0.149803,-0.065780,0.479514
1756078091544,4370,-4.544195,-8.746617,1.325191,9.945308,0.450740,-0.149803,-0.065780,0.479514
1756078091613,4439,-3.720589,-10.339958,3.888184,11.656564,0.450740,-0.149803,-0.065780,0.479514
1756078091625,4451,-3.720589,-10.339958,3.888184,11.656564,1.254215,-1.033306,0.119043,1.629401
1756078091672,4498,-3.720589,-10.339958,3.888184,11.656564,1.711879,-0.862198,0.291616,1.938802
